Address,Availability,Owner,Rooms,Size,links,postal,city,streetaddress,Price,acconto,housenumber,X,Y,UTM1,UTM2
"C. F. Møllers Alle  4F, 4. TV.2300 København S",01-10-2017,Deas logo,3,97,https://www.findbolig.nu/bolig.aspx?aid=27992&s=2,2300,København S,C.F. Møllers Allé,14145.83,920.0,4F,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C.F. Møllers Allé  22, 5. TV2300 København S",01-10-2017,Deas logo,3,98,https://www.findbolig.nu/bolig.aspx?aid=27993&s=2,2300,København S,C.F. Møllers Allé,14291.67,910.0,22,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C.F. Møllers Allé  22, 7. TH2300 København S",01-10-2017,Deas logo,3,104,https://www.findbolig.nu/bolig.aspx?aid=27994&s=2,2300,København S,C.F. Møllers Allé,15383.33,1090.0,22,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C.F. Møllers Allé  22, st. TH2300 København S",01-10-2017,Deas logo,3,104,https://www.findbolig.nu/bolig.aspx?aid=27995&s=2,2300,København S,C.F. Møllers Allé,14733.33,998.0,22,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"Carl Jacobsens Vej  19Z, 5. TV2500 Valby",01-10-2017,Lærernes Pension,4,105,https://www.findbolig.nu/bolig.aspx?aid=27891&s=2,2500,Valby,Carl Jacobsens Vej,13542.24,1100.0,19Z,12.51846316,55.65317352,343866.54812444595,6170272.152527549
"Artillerivej  106, 1. TV.2300 København S",01-10-2017,Lærernes Pension,3,94,https://www.findbolig.nu/bolig.aspx?aid=27931&s=2,2300,København S,Artillerivej,13516.06,1120.0,106,12.571837,55.65944751,347248.4265927423,6170851.322601538
"Stiholmsvej 4, 2. 33460 Birkerød",01-10-2017,CEJ Ejendomsadministration,4,157,https://www.findbolig.nu/bolig.aspx?aid=27936&s=2,3460,Birkerød,Stiholmsvej,13659.0,1300.0,4,12.43078478,55.83902594,339118.17271442525,6191149.384260703
"Dambakken 57, 1. th3460 Birkerød",01-10-2017,CEJ Ejendomsadministration,3,106,https://www.findbolig.nu/bolig.aspx?aid=27937&s=2,3460,Birkerød,Dambakken,12500.0,1250.0,57,12.43718668,55.84544513,339545.40582505055,6191848.678112358
"Dambakken 55, 1. th3460 Birkerød",01-10-2017,CEJ Ejendomsadministration,4,124,https://www.findbolig.nu/bolig.aspx?aid=27939&s=2,3460,Birkerød,Dambakken,13950.0,1510.0,55,12.43690662,55.84566498,339528.7819886487,6191873.786495835
"Marmorvej  47, 1. tv.2100 København Ø",01-10-2017,Pensam,3,99,https://www.findbolig.nu/bolig.aspx?aid=27944&s=2,2100,København Ø,Marmorvej,15152.84,1120.0,47,12.59603339,55.70397018,348942.0059910831,6175751.710495652
